fichier,octets,sha256
A_LIRE.md,3270,31681ce2dfd348b3
JOURNAL.md,11655,335a7307dff51768
README_resultats.md,5748,e8b898baa24a882b
S0_config.json,867,6de529dd6785b41c
S0_preenregistrement.md,2355,399e51421a9db37f
S1_resume.md,2685,17670f5a4a513940
S2_parts/obsonix-v6-00000.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00000.zip,3622925,f071566fa110f728
S2_parts/obsonix-v6-00001.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00001.zip,3753864,247e4e7ad034a708
S2_parts/obsonix-v6-00002.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00002.zip,3494780,a24c182cd67134eb
S2_parts/obsonix-v6-00003.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00003.zip,3793807,85ebb9c06eba9b0e
S2_parts/obsonix-v6-00004.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00004.zip,3530619,290f8f93707317a7
S2_parts/obsonix-v6-00005.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00005.zip,3400601,4a4a8db2864b9225
S2_parts/obsonix-v6-00006.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00006.zip,3664135,a11cfd088a494d05
S2_parts/obsonix-v6-00007.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00007.zip,3962248,d5110ebb31fb3782
S2_parts/obsonix-v6-00008.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00008.zip,3836977,20ed02529d4d816a
S2_parts/obsonix-v6-00009.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00009.zip,3651146,45a6a10c2f26cf7c
S2_parts/obsonix-v6-00010.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00010.zip,4109615,f0b0cd8512468270
S2_parts/obsonix-v6-00011.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00011.zip,3968686,9d6744c3a2970601
S2_parts/obsonix-v6-00012.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00012.zip,3790358,05f854746dd0b75c
S2_parts/obsonix-v6-00013.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00013.zip,3795591,5036794acce7a54f
S2_parts/obsonix-v6-00014.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00014.zip,3466714,7fede4af83cd9bff
S2_parts/obsonix-v6-00015.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00015.zip,3921281,8456bf0e030d291b
S2_parts/obsonix-v6-00016.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00016.zip,3687927,c1f1dc8e008a05a7
S2_parts/obsonix-v6-00017.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00017.zip,4238972,671ce967fa18079d
S2_parts/obsonix-v6-00018.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00018.zip,3650802,d9e083cf606ae709
S2_parts/obsonix-v6-00019.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00019.zip,3932424,e4641a3799a30bfb
S2_parts/obsonix-v6-00020.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00020.zip,3842097,ffb5c6424e1ed9c2
S2_parts/obsonix-v6-00021.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00021.zip,4049242,205e324e488c3f76
S2_parts/obsonix-v6-00022.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00022.zip,3728150,472d02f16b09ef10
S2_parts/obsonix-v6-00023.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00023.zip,3362393,297810a3f6d3f00f
S2_parts/obsonix-v6-00024.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00024.zip,3246891,e08bd7078785efb8
S2_parts/obsonix-v6-00025.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00025.zip,3376778,286e8e1b9736eadb
S2_parts/obsonix-v6-00026.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00026.zip,3936394,cf08459ba3fc094c
S2_parts/obsonix-v6-00027.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00027.zip,4363121,5f70d71feafd95e4
S2_parts/obsonix-v6-00028.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00028.zip,3569088,c7881f5d63753fd3
S2_parts/obsonix-v6-00029.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00029.zip,3882534,b087a0b1ba90f5d9
S2_parts/obsonix-v6-00030.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00030.zip,3478959,490f2da85de90b60
S2_parts/obsonix-v6-00031.manquantes.txt,0,e3b0c44298fc1c14
S2_parts/obsonix-v6-00031.zip,869068,8109dfd2c02b748e
VERDICT.txt,1294,24e345dc03735220
features/S3_A0_ep100.npz,20520176,07acf4bc4fa74a2b
features/S3_A0_ep200.npz,20520176,af61cf5eeb0ec79b
features/S3_A0_ep300.npz,20520176,8058b5519d25e33f
features/S3_DINOv2.npz,20520176,f96ca59e565d1036
features/S3_FOETAL_ep100.npz,20520176,55d23178b187deeb
features/S3_FOETAL_ep50.npz,20520176,cbaf0a001f2431ca
features/S3_IN1K.npz,20520176,424fe86015ecd992
features/S3_RANDOM.npz,20520176,9aeda52a6973a013
figures/F1_balanced_accuracy_by_split.png,230627,e7a14a74d0fa6165
figures/F1_balanced_accuracy_by_split.svg,68616,8843440edaa1e973
figures/F2_confusion_source_held_out.png,169111,f4098f1318ad9fbb
figures/F2_confusion_source_held_out.svg,83710,6bff0d463ecb9093
figures/F3_per_fold_dispersion.png,168099,ed6d037ee6be2132
figures/F3_per_fold_dispersion.svg,48432,21b21eca8ba16440
figures/F4_source_identification_within_category.png,196659,16d7ea4314b9679b
figures/F4_source_identification_within_category.svg,62504,ebe64e7d1c900d35
figures/F5_per_source_centering.png,144204,1a4872a99b65c5cd
figures/F5_per_source_centering.svg,54423,11810c3fbf648a9b
metrics/S1_echantillon.csv,515452,208dbef8ddd824dc
metrics/S1_echantillon.parquet,64087,ff2cba82928c33b9
metrics/S1_plan_plis.csv,955,ed42659dfac3bffb
metrics/S1_plan_plis.parquet,4668,fe9db0af8c65aad9
metrics/S2_inventaire_images.csv,427201,526080dceab9e3e5
metrics/S2_inventaire_images.parquet,133304,610255ccd5bd0912
metrics/S4_baselines.csv,393,7dd9d5fbc5ca4d01
metrics/S4_baselines.parquet,6151,2d430ab229e93888
metrics/S4_bootstrap.csv,20257,bdda9c5edfc0d541
metrics/S4_bootstrap.parquet,9460,8c0889a011e444a8
metrics/S4_confusions.csv,21766,2215ddbe034a723d
metrics/S4_confusions.parquet,5395,edbb0c957480fd29
metrics/S4_metriques.csv,14540,78b03d5634a32fd2
metrics/S4_metriques.parquet,12616,ad78ca3bc429af8b
metrics/S4_permutation.csv,3351,8c9b1c073bf90394
metrics/S4_permutation.parquet,5459,46defd4ee3760c7f
metrics/S4_predictions.csv,17839021,d42a4c92097c800f
metrics/S4_predictions.parquet,3300921,8a73f3382654168f
metrics/S5_source.csv,4076,b4033ab07f2ee43c
metrics/S5_source.parquet,6582,c129ad6e4c19defa
metrics/S6_bootstrap.csv,5103,59853bced176fefb
metrics/S6_bootstrap.parquet,5736,fcf164f3e599ec2e
metrics/S6_metriques.csv,3927,c8b312732717e408
metrics/S6_metriques.parquet,7831,de50e354dcf8be87
metrics/S6_predictions.csv,5883769,2f73a1ecb476e85e
metrics/S6_predictions.parquet,109943,3ffba65dd94d4027
tables/T1_anatomy_probe_main.csv,2252,5ffe0c6756cc7dca
tables/T1_anatomy_probe_main.md,7912,a0b7f6fdcc252704
tables/T1_anatomy_probe_main.tex,2781,53c440a865f9ce4e
tables/T2_recall_by_category_source_held_out.csv,374,87ea4dc69f05e39c
tables/T2_recall_by_category_source_held_out.md,969,c8a447ef63c1cce7
tables/T2_recall_by_category_source_held_out.tex,545,2d2595463be46756
tables/T3_fold_design.csv,560,aed4eeed89347cc1
tables/T3_fold_design.md,1427,9292745565d21d8e
tables/T3_fold_design.tex,704,9682b145acb23ac8
tables/T4_source_identification_control.csv,849,022c3e04573a6b61
tables/T4_source_identification_control.md,2229,022c11a48933d63d
tables/T4_source_identification_control.tex,1053,3a728bbb8bcc0e2e
tables/T5_per_source_centering_ablation.csv,658,e351fd0ef5941461
tables/T5_per_source_centering_ablation.md,1679,e475bf719eea4efb
tables/T5_per_source_centering_ablation.tex,801,f2429aed7eb62774
tables/T6_preregistered_verdict.csv,479,3d607689c1d6199d
tables/T6_preregistered_verdict.md,1619,22ca5cd969966708
tables/T6_preregistered_verdict.tex,665,80bfb831c6048e7a
